Date	Time	50mWS	50mSD	30mWS	30mSD	10mWS	10mSD	50mDIR	30mDIR	Temp
070115	0000	2.6	0.3	1.2	0.3	0.3	0	328	337	36.2
070115	0010	2.1	0.3	1	0.4	0.3	0	329	339	36.6
070115	0020	1	0.3	0.3	0	0.3	0	329	339	36.8
070115	0030	0.4	0.2	0.3	0	0.3	0	329	339	37
070115	0040	0.5	0.3	0.3	0.1	0.3	0	330	339	37.2
070115	0050	0.5	0.2	0.3	0	0.3	0	330	339	37.4
070115	0100	0.5	0.2	0.3	0	0.3	0	330	339	37.6
070115	0110	0.8	0.3	0.3	0	0.3	0	330	339	37.8
070115	0120	1.3	0.3	0.6	0.2	0.3	0	328	339	37.9
070115	0130	1.4	0.8	1.7	0.8	0.9	0.6	310	312	38
070115	0140	2.7	0.2	2.5	0.2	0.9	0.5	306	316	38.3
070115	0150	1.8	0.8	1.3	0.9	0.3	0	309	319	38.2
070115	0200	1.1	0.9	1.3	0.9	0.7	0.4	323	335	38
070115	0210	1	0.8	1.2	1	0.5	0.3	331	341	37.9
070115	0220	1.2	0.7	0.9	0.7	0.3	0	336	342	38.2
070115	0230	1.2	0.8	1.1	0.9	0.3	0	334	342	38.7
070115	0240	0.5	0.2	0.3	0	0.3	0	332	342	38.8
070115	0250	1.3	0.5	1.1	0.3	0.3	0	332	341	39
070115	0300	1.9	0.3	1.7	0.2	0.3	0	331	340	39.3
070115	0310	1.5	0.2	1.4	0.2	0.3	0	331	340	39.4
070115	0320	1.7	0.2	1.4	0.2	0.3	0	330	340	39.4
070115	0330	2.8	0.4	2.1	0.3	0.5	0.3	328	335	39.3
070115	0340	3.2	0.2	2.5	0.2	0.8	0.4	326	332	38.8
070115	0350	4.5	1.3	3.6	1.4	1.7	1.3	326	335	38.3
070115	0400	3.8	0.8	3.2	0.8	1.3	0.8	326	337	38.5
070115	0410	4.7	1.1	4.1	1.2	2.8	1.3	330	338	39.3
070115	0420	6.3	1.3	5.4	1.5	3.5	1.6	329	337	41.7
070115	0430	3.8	0.8	2.9	0.7	1.3	0.8	332	338	43.2
070115	0440	4.8	0.7	3.8	0.6	2.4	0.7	333	339	44
070115	0450	4.3	0.6	3.1	0.6	1.6	0.8	333	339	44.3
070115	0500	4.6	0.9	3.1	1	1.2	0.8	334	342	43.7
070115	0510	6.6	1.4	5.7	1.5	4.3	1.6	339	344	43.3
070115	0520	5	1	4.4	0.9	3.3	0.9	339	345	42.7
070115	0530	4.3	0.6	4	0.6	3.2	0.7	340	345	42.8
070115	0540	4	0.4	3.5	0.5	2.4	0.6	344	346	43.5
070115	0550	3.3	0.4	2.6	0.4	1.4	0.6	347	347	43.9
070115	0600	2.7	0.4	1.9	0.5	0.5	0.3	347	348	44.2
070115	0610	2.6	0.4	1.5	0.4	0.4	0.2	349	345	44.5
070115	0620	2.9	0.7	2.3	0.8	1.1	0.8	31	235	44.7
070115	0630	2.8	0.6	2.2	0.6	0.7	0.5	248	293	44.7
070115	0640	1.8	0.4	1.1	0.5	0.4	0.1	285	310	44.8
070115	0650	3.4	0.5	2.8	0.6	1.2	0.5	309	323	44.8
070115	0700	3.6	0.5	3.4	0.5	2.3	0.5	319	328	44.5
070115	0710	2.6	0.5	1.9	0.5	0.6	0.4	323	332	44.1
070115	0720	2.5	0.6	1.9	0.7	0.9	0.5	318	327	44.1
070115	0730	2.8	0.3	2	0.3	0.6	0.3	315	322	44.1
070115	0740	2.9	0.5	2.3	0.5	0.9	0.5	313	322	44.2
070115	0750	3.2	0.5	2.5	0.7	1.2	0.6	311	318	44.1
070115	0800	2.4	0.8	1.8	0.8	0.6	0.5	315	324	44.1
070115	0810	2.4	0.9	2	0.9	0.7	0.7	324	333	44.1
070115	0820	3.2	0.6	3	0.6	1.9	0.8	321	329	43.9
070115	0830	3.3	0.5	3	0.4	1.7	0.5	321	328	43.7
070115	0840	3.6	0.8	3.3	0.7	2	0.7	320	328	43.4
070115	0850	4	0.8	3.8	0.7	2.7	0.8	323	331	43.1
070115	0900	3.7	0.6	3.5	0.6	2.4	0.8	325	332	43.1
070115	0910	3.4	0.8	3.1	0.6	2.3	0.8	323	332	43.2
070115	0920	3.4	0.7	3.4	0.7	2.5	0.8	324	333	43.2
070115	0930	3.2	0.6	3.1	0.6	2.3	0.6	325	334	43.1
070115	0940	3.1	0.6	2.9	0.6	1.5	0.7	324	334	42.9
070115	0950	3.8	0.5	3.5	0.5	2.4	0.7	325	334	42.9
070115	1000	4.7	0.6	4.1	0.7	2.3	1	323	333	43.1
070115	1010	3.6	1.1	3.2	0.9	1.9	0.9	325	334	43.6
070115	1020	2.2	0.6	2	0.6	0.7	0.5	326	335	42.9
070115	1030	2.4	0.5	1.8	0.6	0.6	0.4	325	335	42.5
070115	1040	2.8	0.4	2.6	0.5	1.4	0.7	325	336	41.7
070115	1050	2.4	0.4	2.3	0.4	1.1	0.6	326	336	40.6
070115	1100	2.4	0.4	2.3	0.5	1.1	0.6	325	336	39.7
070115	1110	2.8	0.6	2.5	0.7	1.1	0.7	324	336	38.3
070115	1120	3	0.5	2.6	0.7	1.4	1	328	338	37
070115	1130	2.8	0.4	2.5	0.6	1.2	0.8	330	339	36.6
070115	1140	3	0.6	2.8	0.6	1.6	0.9	329	338	36
070115	1150	4	0.7	3.7	0.8	2.7	1	325	337	35.4
070115	1200	3.8	0.7	3.6	0.8	2.4	0.9	328	338	35.7
070115	1210	3.1	0.5	2.9	0.6	2	0.8	326	337	35.9
070115	1220	3.3	0.4	2.8	0.7	1.6	0.8	325	337	35.7
070115	1230	3.6	0.5	3	0.7	2	1	323	336	35.3
070115	1240	2.7	0.4	2.1	0.6	1.5	0.7	326	337	34.5
070115	1250	2.8	0.8	2.6	0.9	2.1	0.9	326	335	34.3
070115	1300	2.8	0.6	2.7	0.6	2.1	0.7	324	335	34
070115	1310	3.2	0.6	2.8	0.7	1.9	0.8	324	334	33.5
070115	1320	3	0.5	2.7	0.6	1.7	0.7	323	336	33.1
070115	1330	2.9	0.6	2.7	0.7	1.9	1	325	333	32.2
070115	1340	3	0.8	2.9	0.8	2.3	0.9	324	335	32.4
070115	1350	3.3	0.7	2.9	0.7	2.3	0.7	324	335	32.6
070115	1400	3.5	0.6	3.2	0.6	2.4	0.7	324	334	32.3
070115	1410	3.1	0.6	2.8	0.6	2	0.9	325	336	31.5
070115	1420	3.2	0.7	2.8	0.8	1.9	1	324	334	31.5
070115	1430	3.6	0.6	3.1	0.6	2.3	0.7	324	335	31.6
070115	1440	3.3	0.8	3.1	0.9	2.7	0.9	324	331	31.3
070115	1450	3.6	1	3.2	1	2.6	1.1	323	330	31.3
070115	1500	3.5	0.7	3.3	0.6	2.8	0.7	322	329	32
070115	1510	4	0.6	3.7	0.6	3.2	0.6	322	328	31.6
070115	1520	3.3	0.7	2.9	0.9	2.3	1	323	330	30.6
070115	1530	2.8	1.1	2.7	1	2.2	1.2	324	331	30.6
070115	1540	3.8	0.6	3.5	0.6	2.9	0.9	321	326	29.9
070115	1550	3.5	0.7	3.4	0.6	2.7	0.8	323	332	29.4
070115	1600	2.5	0.8	2.3	0.9	1.7	1	325	335	28.7
070115	1610	2.6	0.8	2.5	0.8	1.9	0.9	324	332	28.4
070115	1620	3.1	1	3	1	2.1	1	323	333	28.6
070115	1630	2.5	0.8	2.4	0.8	1.7	0.9	325	336	28.8
070115	1640	3.1	0.6	2.7	0.8	2	0.9	324	334	26.7
070115	1650	2.7	0.5	2.5	0.5	2	0.8	324	333	27.1
070115	1700	2.7	0.6	2.4	0.7	2	0.8	325	334	26.7
070115	1710	2.1	0.6	1.9	0.6	1.4	0.6	325	333	26
070115	1720	2.8	0.9	2.7	0.8	2.2	1	330	337	26.8
070115	1730	3.3	1.6	2.9	1.6	2.2	1.3	336	341	28.3
070115	1740	5.7	0.9	5.1	1	3.2	1	336	342	30.1
070115	1750	3.2	0.8	2.9	0.8	1.6	0.9	338	343	30.2
070115	1800	2.4	0.5	2.2	0.6	0.9	0.6	339	343	29.1
070115	1810	1.3	0.7	1.2	0.7	0.6	0.4	338	340	27.3
070115	1820	1	0.5	1.1	0.4	0.4	0.2	339	342	24.9
070115	1830	1.2	0.5	1	0.6	0.5	0.4	340	345	24
070115	1840	1.5	0.6	1.3	0.6	0.8	0.5	334	340	24.9
070115	1850	0.3	0.1	0.3	0	0.3	0	333	340	25.7
070115	1900	0.4	0.2	0.5	0.3	0.3	0	334	340	25.8
070115	1910	0.4	0.2	0.4	0.1	0.3	0.1	334	340	26.1
070115	1920	0.5	0.3	0.5	0.3	0.4	0.1	334	338	25.7
070115	1930	1	0.5	1.1	0.4	0.8	0.4	333	338	26.1
070115	1940	1	0.4	0.9	0.4	0.4	0.2	334	338	26.5
070115	1950	0.4	0.2	0.4	0.2	0.3	0.1	335	339	26.3
070115	2000	2.3	0.9	2.2	0.7	1.5	0.8	327	334	25.8
070115	2010	1.7	0.5	1.6	0.6	0.8	0.7	315	322	26.8
070115	2020	0.8	0.5	0.9	0.5	0.4	0.2	274	276	27
070115	2030	0.3	0	0.3	0	0.3	0	277	277	27
070115	2040	0.3	0	0.3	0	0.3	0	278	277	27.1
070115	2050	0.6	0.3	0.6	0.3	0.3	0	279	278	27.4
070115	2100	0.4	0.2	0.4	0.2	0.3	0	281	277	27.7
070115	2110	0.4	0.3	0.3	0.1	0.3	0	282	277	27.9
070115	2120	1.2	0.4	1.2	0.2	0.3	0	270	275	28.3
070115	2130	1	0.4	1	0.3	0.3	0	273	277	28.8
070115	2140	0.4	0.2	0.4	0.1	0.3	0	274	278	29.3
070115	2150	0.3	0.1	0.3	0	0.3	0	275	278	29.8
070115	2200	0.4	0.2	0.3	0	0.3	0	269	277	30
070115	2210	2.6	1.5	2.6	1.3	1.6	1	315	324	30.6
070115	2220	4.8	0.6	4.3	0.8	2.4	1	335	340	32.5
070115	2230	4.7	1.1	4.9	0.8	4.2	1.2	339	344	35.7
070115	2240	1.6	0.7	2.3	0.8	2.2	1.4	341	344	37.2
070115	2250	1.9	0.4	1.6	0.4	0.4	0.2	340	343	37.7
070115	2300	1.3	0.5	0.7	0.6	0.3	0.1	341	344	38.1
070115	2310	2.7	0.6	2.5	0.5	0.7	0.5	340	345	37.9
070115	2320	1	0.7	1	0.6	0.4	0.2	344	346	37.9
070115	2330	0.7	0.4	1	0.4	0.4	0.1	347	346	38.5
070115	2340	2.1	0.5	2	0.3	0.6	0.4	323	331	37.8
070115	2350	4	0.7	3.5	0.7	1.7	1	322	330	37.4
070215	0000	2.9	0.4	2.7	0.4	0.9	0.5	325	336	37.2
070215	0010	2.7	0.8	2.2	0.8	0.7	0.5	325	337	37.6
070215	0020	2.7	0.3	1.9	0.4	0.5	0.3	330	339	37.9
070215	0030	1.7	0.4	0.9	0.4	0.3	0	334	339	38.2
070215	0040	2.5	0.4	1.9	0.6	0.5	0.3	335	339	38.5
070215	0050	2.5	0.2	2.1	0.2	0.5	0.2	337	341	38.8
070215	0100	2.1	0.9	1.5	0.9	0.4	0.3	338	343	38.8
070215	0110	1.8	0.4	1.2	0.4	0.3	0	339	343	39.1
070215	0120	0.6	0.5	0.5	0.3	0.3	0	340	342	39.3
070215	0130	2	0.3	1.5	0.3	0.3	0	340	343	39.9
070215	0140	2	0.3	1.7	0.3	0.4	0.2	339	343	40.1
070215	0150	2.2	0.3	2	0.3	0.7	0.4	343	343	40
070215	0200	2.1	0.2	2	0.3	0.7	0.4	344	343	40.1
070215	0210	0.6	0.4	0.5	0.4	0.3	0	345	342	40.3
070215	0220	0.3	0	0.3	0	0.3	0	345	342	40.5
070215	0230	0.3	0	0.3	0.1	0.3	0	344	342	40.6
070215	0240	1.1	0.7	1.1	0.6	0.4	0.2	344	343	40.9
070215	0250	0.7	0.4	0.4	0.2	0.3	0	345	342	41.1
070215	0300	0.5	0.2	0.4	0.2	0.3	0	346	343	41.1
070215	0310	0.3	0	0.3	0	0.3	0	346	342	41.3
070215	0320	0.7	0.5	0.6	0.3	0.3	0	346	343	41.3
070215	0330	1.7	0.3	1.4	0.3	0.4	0.2	345	343	41.3
070215	0340	1.1	0.6	0.7	0.5	0.3	0	344	343	41.3
070215	0350	1.7	0.6	1.5	0.4	0.8	0.5	348	343	41.5
070215	0400	2.3	0.3	1.7	0.5	0.6	0.5	349	34	41.7
070215	0410	2.6	0.2	1.7	0.3	0.4	0.2	346	312	41.8
070215	0420	2.2	0.3	1.6	0.3	0.3	0	284	256	41.8
070215	0430	2.9	0.4	2.2	0.5	0.5	0.3	311	315	41.6
070215	0440	4.1	0.6	3.8	0.7	2.5	0.9	311	317	41.5
070215	0450	4	0.8	3.7	0.8	2.7	0.9	312	319	41.8
070215	0500	5.1	0.7	4.8	0.7	4	0.9	315	320	43
070215	0510	4.4	0.9	4.2	0.8	3.4	0.8	313	319	43.5
070215	0520	3.5	0.5	3	0.6	1.9	0.7	307	316	43.7
070215	0530	4.1	0.6	3.9	0.6	2.7	0.7	311	319	43.9
070215	0540	4.2	0.5	3.6	0.5	2.5	0.6	312	319	44.1
070215	0550	2.3	1	1.9	1.1	1.1	0.9	308	317	44.2
070215	0600	0.6	0.5	0.4	0.2	0.3	0	323	325	44.3
070215	0610	0.7	0.5	0.6	0.4	0.3	0	317	323	44.4
070215	0620	2.8	0.6	2.5	0.6	0.9	0.6	300	316	44.6
070215	0630	2.5	0.5	2.2	0.4	0.8	0.5	305	319	44.7
070215	0640	2.9	0.3	2.4	0.4	1	0.5	315	323	45
070215	0650	2.6	0.4	2.5	0.4	1.4	0.6	320	328	45
070215	0700	2.5	0.4	2.4	0.4	1.2	0.6	312	322	45.1
070215	0710	1.5	0.4	1.1	0.4	0.4	0.1	309	320	45.2
070215	0720	2.2	0.7	2.1	0.6	1.1	0.7	310	320	45.4
070215	0730	3.7	0.4	3.2	0.6	1.9	0.8	303	314	45.8
070215	0740	3.5	0.4	2.7	0.5	1.3	0.7	285	305	45.9
070215	0750	1.8	1.1	1.2	0.9	0.4	0.2	261	286	46
070215	0800	0.7	0.4	0.5	0.3	0.3	0	267	290	45.9
070215	0810	0.7	0.5	0.4	0.2	0.3	0	262	289	45.6
070215	0820	0.4	0.2	0.4	0.1	0.3	0	269	291	45.7
070215	0830	1.4	0.6	0.7	0.4	0.3	0	293	291	45.5
070215	0840	1.7	0.6	1.1	0.5	0.3	0	314	302	45.3
070215	0850	0.5	0.3	0.4	0.2	0.3	0	316	324	45.1
070215	0900	0.6	0.4	1.1	0.8	0.8	0.5	308	337	44.7
070215	0910	1.2	0.5	1.6	0.6	0.8	0.5	348	347	44.7
070215	0920	0.3	0	0.3	0	0.3	0	348	347	44.8
070215	0930	0.3	0	0.3	0	0.3	0	348	348	44.6
070215	0940	0.3	0	0.3	0	0.3	0	348	347	43.7
070215	0950	0.3	0	0.3	0	0.3	0	348	347	43.1
070215	1000	0.3	0	0.3	0	0.3	0	348	348	41.9
070215	1010	0.4	0.3	0.5	0.3	0.3	0	40	271	40.5
070215	1020	1.7	0.6	1.5	0.6	0.7	0.6	13	306	40
070215	1030	2.2	0.5	2.1	0.5	1.4	0.7	305	315	39.3
070215	1040	2.8	0.5	2.6	0.6	2	0.8	316	324	39
070215	1050	2.8	0.4	2.7	0.5	1.8	0.6	322	328	38.1
070215	1100	2.5	0.5	2.5	0.5	1.8	0.8	325	330	37.3
070215	1110	2.6	0.5	2.2	0.6	1.3	0.7	325	335	36.5
070215	1120	1.3	0.7	1.4	0.7	0.9	0.7	326	333	35.8
070215	1130	1.9	1	1.8	0.9	1.4	0.9	325	331	34.8
070215	1140	2.6	0.5	2.4	0.6	2.1	0.8	321	328	34.6
070215	1150	2.1	0.6	1.8	0.7	1.7	0.8	323	331	34
070215	1200	2	0.4	2	0.5	1.2	0.6	324	336	33
070215	1210	1.2	0.6	1	0.6	0.7	0.5	327	336	32.8
070215	1220	2.1	0.6	1.9	0.5	1	0.7	328	338	32
070215	1230	2.1	0.6	1.9	0.6	1.2	0.7	325	336	31.7
070215	1240	1.9	0.6	1.8	0.6	1.2	0.7	326	337	30.8
070215	1250	1.2	0.9	1.1	0.8	0.9	0.7	327	335	29.1
070215	1300	1	0.5	1.2	0.5	1	0.5	324	326	29.5
070215	1310	1.2	0.6	1	0.6	0.7	0.5	326	334	27.4
070215	1320	0.5	0.4	0.7	0.6	0.7	0.5	328	339	26.6
070215	1330	1.4	0.7	1.3	0.7	1	0.7	335	356	25.6
070215	1340	1.6	0.5	1.4	0.5	0.9	0.7	340	344	28.1
070215	1350	1.3	0.4	1.3	0.5	0.6	0.4	339	342	28.1
070215	1400	1.4	0.6	1.4	0.6	0.8	0.5	334	340	27.4
070215	1410	1.3	0.8	1.2	0.7	0.6	0.4	340	343	27.9
070215	1420	3.9	1	3.6	1	2.5	1.1	335	339	28.3
070215	1430	3	0.5	2.9	0.7	2	0.7	336	342	31.4
070215	1440	3.6	0.4	3.3	0.5	1.6	0.7	338	343	32.2
070215	1450	2.2	0.7	1.9	0.7	0.9	0.6	338	343	31.4
070215	1500	2.1	0.6	1.9	0.6	0.7	0.5	338	343	29.7
070215	1510	1	0.5	0.9	0.4	0.4	0.2	339	343	29
070215	1520	1.3	0.3	1.2	0.4	0.5	0.3	339	342	28.6
070215	1530	0.5	0.3	0.6	0.4	0.4	0.1	340	342	28.2
070215	1540	1.2	0.5	0.9	0.5	0.5	0.3	338	340	28.1
070215	1550	1	0.5	1	0.4	0.6	0.3	336	340	27.7
070215	1600	1.6	0.6	1.6	0.5	1	0.7	336	340	25.8
070215	1610	1.3	0.6	1.3	0.6	0.7	0.5	336	337	24.6
070215	1620	1.5	0.8	1.3	0.8	1.1	0.8	337	341	24.2
070215	1630	1.4	0.6	1.2	0.6	0.6	0.4	335	340	23.4
070215	1640	1.4	0.6	1.4	0.5	1.2	0.7	340	343	23.1
070215	1650	0.9	0.6	0.9	0.5	0.6	0.4	347	32	22.5
070215	1700	0.9	0.7	0.8	0.8	0.6	0.4	348	31	21.7
070215	1710	1.3	0.7	1	0.7	0.6	0.5	342	346	20.4
070215	1720	1.8	0.6	1.9	0.6	1.3	0.7	340	342	21.1
070215	1730	1.9	0.6	1.7	0.5	1.4	0.7	338	342	21.5
070215	1740	2.6	0.6	2.6	0.7	2.2	0.9	347	347	22.4
070215	1750	0.7	0.6	0.7	0.6	0.5	0.4	348	348	24
070215	1800	0.8	0.5	0.9	0.6	0.4	0.2	348	347	24.1
070215	1810	1.3	0.4	1.3	0.5	0.5	0.2	343	345	24.3
070215	1820	3.4	1.2	3.2	1.3	2.4	1.3	333	339	24
070215	1830	3.2	0.8	3	0.8	1.8	0.8	330	338	26.3
070215	1840	2.5	0.5	2.3	0.6	1.6	0.8	333	339	25.5
070215	1850	3.4	0.6	3.4	0.6	2.2	0.7	325	337	25.6
070215	1900	2.6	0.3	2.6	0.5	1.7	0.9	336	339	25.3
070215	1910	2.5	0.5	2.2	0.5	1.4	0.7	336	340	24.2
070215	1920	1.8	0.3	1.8	0.3	0.9	0.4	337	340	24.9
070215	1930	1.2	0.6	1.2	0.5	0.4	0.2	337	341	25.5
070215	1940	0.8	0.7	0.8	0.7	0.5	0.4	337	342	25.8
070215	1950	0.3	0.1	0.3	0.1	0.3	0	337	343	25.5
070215	2000	0.6	0.4	0.4	0.1	0.3	0	337	343	25.2
070215	2010	5	2.8	4.6	2.8	3.1	2.5	335	341	28.1
070215	2020	5.9	2.4	5.8	2.7	4.3	2.3	330	338	39.6
070215	2030	4.8	0.9	4.6	1.3	3.3	1.2	328	336	40.8
070215	2040	3.4	0.5	3.4	0.4	2.2	0.7	331	338	35.4
070215	2050	2.5	0.5	2.3	0.6	1	0.5	337	339	33.5
070215	2100	2.4	0.4	1.8	0.3	0.4	0.1	339	341	32.2
070215	2110	1.3	0.4	0.6	0.4	0.3	0	338	341	31.9
070215	2120	1.1	0.3	0.5	0.3	0.3	0	338	341	32.2
070215	2130	0.6	0.4	0.3	0	0.3	0	340	342	32.1
070215	2140	1	0.2	0.3	0	0.3	0	340	342	32.6
070215	2150	0.6	0.3	0.3	0	0.3	0	340	342	32.5
070215	2200	2.3	0.6	1.3	0.7	0.4	0.1	339	341	33.2
070215	2210	3.5	0.3	3.1	0.3	1.4	0.5	337	342	33
070215	2220	3.7	0.3	3	0.3	1.2	0.5	336	342	32.2
070215	2230	3.2	0.6	2	0.5	0.4	0.2	336	342	32.5
070215	2240	2.9	0.7	2.9	0.5	1.3	0.5	330	338	33.8
070215	2250	3.6	0.5	3	0.4	0.9	0.7	328	338	34.8
070215	2300	3.2	0.5	2.7	0.6	0.7	0.5	333	339	36.1
070215	2310	2.6	0.3	2.4	0.3	0.7	0.5	336	339	36.3
070215	2320	2.9	0.2	2	0.4	0.4	0.3	334	339	36.6
070215	2330	2.9	0.2	2.1	0.2	0.4	0.1	337	339	36.7
070215	2340	2.9	0.2	2.3	0.3	0.3	0	338	340	36.3
070215	2350	2.7	0.4	2.1	0.5	0.4	0.2	336	339	36.2
070315	0000	3.3	0.3	2.3	0.5	0.5	0.3	335	339	37.1
070315	0010	3.4	0.2	2.8	0.2	0.4	0.2	336	340	37.5
070315	0020	3.9	0.2	3.3	0.2	1	0.5	336	340	37.6
070315	0030	3.4	0.3	2.8	0.3	0.4	0.1	338	342	37.8
070315	0040	3	0.2	2.2	0.3	0.3	0	339	343	37.9
070315	0050	2.2	0.2	1.4	0.2	0.3	0	338	341	37.8
070315	0100	2.8	0.3	2.7	0.4	0.5	0.2	337	339	38.2
070315	0110	3.7	0.2	3.2	0.2	0.5	0.3	335	339	38.2
070315	0120	3.8	0.3	2.6	0.4	0.4	0.1	336	338	38.3
070315	0130	2.8	0.4	0.9	0.5	0.3	0	338	340	38.2
070315	0140	2.8	0.3	1.5	0.4	0.3	0	338	340	38.7
070315	0150	2.7	0.4	0.8	0.4	0.3	0	337	341	38.8
070315	0200	1.8	0.2	1	0.5	0.3	0	338	341	39.1
070315	0210	2	0.3	1.7	0.3	0.3	0	337	341	38.9
070315	0220	2.5	0.3	2.1	0.3	1	0.5	328	334	39.1
070315	0230	2.8	0.6	2.1	0.7	0.7	0.5	323	329	39.3
070315	0240	3.6	0.3	2.8	0.3	1.2	0.5	315	321	39.6
070315	0250	3.6	0.4	2.6	0.4	1	0.5	316	323	39.7
070315	0300	3.3	0.4	2.4	0.4	0.8	0.7	315	324	39.7
070315	0310	3.1	0.4	2.5	0.6	1.2	0.8	314	321	39.5
070315	0320	4	0.4	3.4	0.4	2.4	0.6	314	321	39.7
070315	0330	4.1	0.5	3.4	0.5	2.1	0.8	311	319	40
070315	0340	3.6	0.5	3.1	0.6	2.1	0.7	305	314	40.5
070315	0350	3.9	0.4	3.3	0.4	2.1	0.6	305	316	41.1
070315	0400	3.2	0.4	2.4	0.5	1.5	0.6	312	320	41.3
070315	0410	3.2	0.5	2.4	0.5	1.1	0.6	313	322	41.5
070315	0420	3.2	0.4	2.3	0.4	1.2	0.5	319	326	41.7
070315	0430	3.5	0.4	2.7	0.5	1.9	0.6	316	323	41.8
070315	0440	3.6	0.4	2.8	0.5	1.8	0.6	316	323	42.1
070315	0450	4	0.4	3.2	0.5	2.1	0.8	311	318	42.5
070315	0500	4.4	0.5	3.3	0.6	2.1	0.6	307	316	42.7
070315	0510	4.2	0.3	3.3	0.4	1.9	0.5	305	316	42.8
070315	0520	3.4	0.5	2.2	0.6	0.7	0.6	311	322	42.9
070315	0530	2.5	0.5	1.4	0.5	0.3	0	311	322	42.9
070315	0540	2	0.3	1	0.4	0.3	0	316	323	42.9
070315	0550	2.3	0.3	1.7	0.4	0.3	0.1	318	327	42.8
070315	0600	2.2	0.6	1.7	0.7	0.7	0.6	324	332	42.8
070315	0610	2.2	0.4	1.8	0.4	0.3	0	326	333	43.1
070315	0620	2.7	0.3	2.2	0.3	0.6	0.4	326	337	43.6
070315	0630	3.3	0.5	2.5	0.4	0.5	0.3	326	338	43.9
070315	0640	3.4	0.3	2.5	0.4	0.5	0.4	324	336	44.2
070315	0650	3.7	0.5	2.7	0.5	0.4	0.3	323	337	44.3
070315	0700	4.1	0.3	2.9	0.3	0.8	0.6	324	335	44.5
070315	0710	3	0.4	1.9	0.4	0.4	0.2	325	336	44.6
070315	0720	2.6	0.3	1.6	0.3	0.3	0	325	337	44.4
070315	0730	1	0.7	0.6	0.5	0.4	0.1	331	333	44.4
070315	0740	1	0.5	1.1	0.5	0.4	0.1	298	14	44
070315	0750	2.8	0.5	2.2	0.5	0.7	0.6	248	253	43.9
070315	0800	2	1	1.6	1	0.7	0.9	297	315	44.4
070315	0810	4.9	2.1	4.3	1.9	2.3	1.9	338	344	44.5
070315	0820	0.8	0.6	0.7	0.6	0.5	0.4	351	348	43.9
070315	0830	1.4	0.8	1.5	0.7	0.7	0.3	326	342	43.6
070315	0840	3.1	0.5	2.9	0.4	1	0.5	323	332	43.4
070315	0850	3.6	0.3	3.3	0.2	1.9	0.4	327	335	43.3
070315	0900	2.9	0.6	2.3	0.8	0.9	0.7	327	334	42.9
070315	0910	2.6	0.6	2	0.6	0.6	0.6	326	333	42.9
070315	0920	2.5	0.6	2.2	0.5	0.9	0.5	323	329	42.5
070315	0930	2.5	0.5	2.1	0.6	0.9	0.6	321	328	42.3
070315	0940	2.2	0.5	2.2	0.4	1.1	0.6	316	323	42.1
070315	0950	2.2	0.4	2	0.4	1.3	0.5	321	326	41.9
070315	1000	2.1	0.4	2.2	0.4	1.6	0.5	323	329	41.5
070315	1010	1.8	0.5	2.2	0.3	1.7	0.5	316	323	40.9
070315	1020	1.9	0.6	2.4	0.5	2	0.7	317	324	40.5
070315	1030	1.6	0.4	2	0.3	1.5	0.5	324	330	40.4
070315	1040	1.8	0.6	2	0.6	0.9	0.6	328	337	40.1
070315	1050	2.3	0.4	2.2	0.4	0.7	0.5	328	338	40
070315	1100	1.7	0.5	1.6	0.7	0.7	0.5	327	338	39.6
070315	1110	2	0.9	2.1	0.9	1.2	0.8	326	336	38.8
070315	1120	3	0.4	3.1	0.5	2.6	0.6	326	333	38.7
070315	1130	3.2	0.4	3	0.5	2.5	0.6	324	332	38.9
070315	1140	3	0.5	2.9	0.5	2.4	0.7	323	330	38.5
070315	1150	3.2	0.7	3.2	0.7	2.6	0.7	320	326	38.6
070315	1200	3.1	0.4	3.1	0.5	2.4	0.6	320	326	38.3
070315	1210	3.3	0.4	3.2	0.4	2.7	0.6	320	327	38.1
070315	1220	2.8	0.4	2.9	0.5	2.3	0.7	318	326	37.7
070315	1230	2.6	0.5	2.7	0.5	2.1	0.9	304	314	37.3
070315	1240	3.2	0.4	3	0.5	2.4	0.8	322	328	36.2
070315	1250	3.6	0.4	3.3	0.5	2.6	0.6	324	333	35.7
070315	1300	3.8	0.5	3.2	0.6	2.5	0.7	324	334	34.7
070315	1310	3.6	0.6	3.2	0.7	2.7	0.8	324	333	34.3
070315	1320	3.9	0.7	3.5	0.6	2.8	0.7	323	330	34.1
070315	1330	3.8	0.5	3.5	0.6	3	0.8	319	327	34.6
070315	1340	3.7	0.6	3.4	0.6	3	0.6	320	326	34.5
070315	1350	3.2	0.4	2.9	0.5	2.5	0.8	321	329	33.4
070315	1400	3.4	0.5	2.9	0.7	2.2	0.9	323	332	32.6
070315	1410	3.6	0.6	3.3	0.7	2.5	0.9	324	334	31.8
070315	1420	2.3	0.8	1.5	0.9	1.1	0.7	324	336	30.6
070315	1430	2.8	0.8	2.4	0.9	1.8	1	325	333	30.2
070315	1440	3.2	2.2	2.7	2.2	2.3	1.9	333	341	32.2
070315	1450	8.4	1	7.6	1.3	6.2	1.5	338	343	38.5
070315	1500	6.2	1.7	5.7	1.5	3.9	2.5	340	344	42.6
070315	1510	2.5	0.3	2.4	0.2	1.5	0.4	342	346	42.1
070315	1520	1.1	0.9	0.9	0.7	0.5	0.4	344	346	38.8
