Date	Time	50mWS	50mSD	30mWS	30mSD	10mWS	10mSD	50mDIR	30mDIR	TEMP
120212	1130	0.6	0.5	0.6	0.5	0.5	0.3	58.9	282.0	21.8
120212	1140	0.7	0.6	0.7	0.5	0.4	0.3	171.0	197.3	22.1
120212	1150	0.7	0.5	0.8	0.5	0.5	0.4	171.3	198.0	22.5
120212	1200	1.1	0.6	0.8	0.6	0.6	0.4	186.7	200.2	22.6
120212	1210	0.7	0.5	1.0	0.5	0.6	0.4	180.6	194.5	22.9
120212	1220	1.2	0.7	1.1	0.6	0.7	0.5	179.8	192.3	23.3
120212	1230	1.3	0.7	1.2	0.7	0.7	0.5	183.2	198.3	23.6
120212	1240	1.4	0.7	1.2	0.7	1.1	0.7	218.2	218.2	23.8
120212	1250	1.5	0.7	1.2	0.7	0.8	0.6	242.5	261.8	23.8
120212	1300	1.8	0.7	1.5	0.6	1.2	0.8	241.3	257.9	24.0
120212	1310	1.7	1.0	1.4	0.8	0.8	0.7	227.4	245.3	24.4
120212	1320	2.2	0.5	2.2	0.5	1.6	0.7	253.3	253.5	24.2
120212	1330	2.4	0.6	2.3	0.7	1.8	1.0	257.2	260.7	24.3
120212	1340	2.2	0.6	2.2	0.7	1.6	0.9	243.6	248.4	24.4
120212	1350	3.1	0.7	3.0	0.8	2.6	1.0	251.6	258.2	24.6
120212	1400	2.0	0.7	2.0	0.8	1.3	1.0	238.3	228.1	24.7
120212	1410	2.5	0.5	2.6	0.5	2.2	0.7	262.7	268.3	24.8
120212	1420	2.9	0.8	2.8	0.9	2.2	1.2	263.3	267.2	25.2
120212	1430	2.6	0.6	2.6	0.5	2.1	0.7	274.9	284.1	25.1
120212	1440	2.9	0.5	2.8	0.7	2.6	0.8	276.4	283.7	25.3
120212	1450	2.8	0.7	2.7	0.7	2.5	0.8	272.7	286.6	25.2
120212	1500	2.9	0.7	2.8	0.7	2.3	0.9	269.7	284.5	25.2
120212	1510	3.1	0.5	3.0	0.6	2.6	0.8	262.4	270.3	25.3
120212	1520	2.8	0.5	2.9	0.5	2.5	0.6	263.6	275.9	25.5
120212	1530	2.0	0.5	1.9	0.6	1.4	0.9	261.8	263.1	25.7
120212	1540	3.1	0.6	3.1	0.6	2.8	0.7	275.5	277.3	25.5
120212	1550	2.3	0.3	2.1	0.4	1.4	0.6	274.3	276.6	25.5
120212	1600	2.9	0.6	2.9	0.7	2.3	0.8	246.9	257.6	25.4
120212	1610	2.3	0.5	2.2	0.5	1.7	0.7	248.2	253.7	25.3
120212	1620	2.2	0.5	2.0	0.4	1.4	0.6	240.5	253.6	25.3
120212	1630	2.0	0.3	1.6	0.5	0.3	0.1	229.2	253.0	25.3
120212	1640	2.3	0.3	2.0	0.3	0.4	0.3	226.9	253.0	25.0
120212	1650	2.4	0.3	2.0	0.3	0.4	0.2	225.7	239.0	24.7
120212	1700	2.3	0.2	2.1	0.2	0.3	0.0	224.9	233.3	24.4
120212	1710	2.3	0.2	2.0	0.2	0.3	0.0	224.3	233.0	24.2
120212	1720	2.3	0.2	2.1	0.2	0.3	0.0	224.2	233.1	23.9
120212	1730	2.4	0.2	2.2	0.2	0.3	0.0	224.3	233.0	23.6
120212	1740	2.6	0.1	2.4	0.2	0.3	0.0	224.3	233.0	23.2
120212	1750	2.8	0.2	2.7	0.2	0.3	0.1	224.3	233.0	22.6
120212	1800	2.8	0.2	2.7	0.2	0.3	0.0	224.3	233.0	21.8
120212	1810	3.3	0.2	2.9	0.2	0.3	0.0	223.8	233.0	21.1
120212	1820	3.7	0.2	2.9	0.2	0.3	0.0	220.8	230.7	20.5
120212	1830	3.9	0.4	3.2	0.2	0.3	0.0	220.7	229.1	20.0
120212	1840	4.1	0.2	3.4	0.2	0.3	0.0	227.6	230.1	19.5
120212	1850	4.8	0.3	3.6	0.2	0.3	0.0	231.3	230.8	19.4
120212	1900	5.0	0.2	3.5	0.2	0.3	0.0	236.2	231.2	19.2
120212	1910	4.8	0.2	3.4	0.2	0.3	0.0	239.3	232.2	18.9
120212	1920	5.0	0.2	3.6	0.2	0.6	0.4	243.5	234.6	18.8
120212	1930	5.2	0.2	3.6	0.2	1.4	0.3	250.6	241.4	18.5
120212	1940	5.2	0.2	3.5	0.2	1.5	0.2	255.9	242.1	18.6
120212	1950	5.0	0.2	3.5	0.2	0.9	0.4	260.0	242.8	18.1
120212	2000	4.7	0.2	3.7	0.2	0.4	0.1	268.8	243.6	17.3
120212	2010	4.5	0.1	3.4	0.2	0.3	0.0	271.6	243.7	17.0
120212	2020	4.2	0.2	3.0	0.3	0.3	0.0	280.0	243.7	17.2
120212	2030	3.6	0.3	2.3	0.2	0.3	0.0	280.7	243.5	17.2
120212	2040	3.1	0.2	2.3	0.2	0.4	0.2	281.9	243.2	17.1
120212	2050	2.9	0.2	2.4	0.2	0.4	0.1	279.4	242.0	16.6
120212	2100	2.8	0.2	2.6	0.2	0.3	0.0	278.8	242.0	16.7
120212	2110	2.8	0.2	2.9	0.2	0.3	0.0	278.2	241.9	16.3
120212	2120	3.1	0.2	3.3	0.3	0.3	0.0	268.0	241.7	15.9
120212	2130	3.2	0.3	3.6	0.2	0.3	0.0	252.4	241.6	15.5
120212	2140	3.1	0.3	3.5	0.2	0.3	0.0	247.7	241.7	15.2
120212	2150	3.3	0.5	3.2	0.2	0.3	0.0	246.1	241.7	15.2
120212	2200	3.1	0.6	3.3	0.3	0.3	0.0	250.2	242.5	15.2
120212	2210	2.3	0.3	3.2	0.2	0.3	0.0	252.0	248.2	15.1
120212	2220	2.4	0.2	3.3	0.2	0.3	0.0	258.0	248.5	15.2
120212	2230	2.0	0.2	2.8	0.2	0.3	0.0	260.9	248.6	15.2
120212	2240	1.8	0.2	2.6	0.2	0.3	0.0	261.0	248.6	15.1
120212	2250	1.2	0.3	2.2	0.3	0.3	0.0	261.0	248.6	14.8
120212	2300	0.3	0.1	1.9	0.2	0.3	0.0	261.0	248.5	14.5
120212	2310	0.3	0.0	1.9	0.2	0.3	0.0	261.0	248.5	14.4
120212	2320	0.3	0.0	1.5	0.2	0.3	0.0	261.0	248.5	14.4
120212	2330	0.3	0.0	0.8	0.4	0.3	0.0	261.0	248.4	14.1
120212	2340	1.3	0.5	0.3	0.0	0.3	0.0	261.0	248.4	13.7
120212	2350	1.4	0.2	0.3	0.2	0.3	0.0	261.0	248.4	13.4
120312	0000	1.6	0.2	0.3	0.1	0.3	0.0	261.1	248.4	13.2
120312	0010	1.3	0.2	1.1	0.3	0.3	0.0	261.1	248.4	13.7
120312	0020	1.2	0.2	1.0	0.4	0.3	0.0	261.1	248.3	13.8
120312	0030	1.4	0.2	1.4	0.2	0.3	0.0	261.1	248.1	13.6
120312	0040	1.4	0.2	1.2	0.2	0.3	0.0	261.1	248.1	13.3
120312	0050	1.3	0.2	0.5	0.3	0.5	0.3	261.0	248.1	13.0
120312	0100	1.4	0.2	1.3	0.2	1.4	0.4	267.9	248.1	13.3
120312	0110	1.1	0.4	1.0	0.5	1.4	0.5	307.2	248.2	13.6
120312	0120	1.1	0.3	1.1	0.4	0.5	0.3	309.2	248.2	13.5
120312	0130	1.2	0.3	2.0	0.3	0.3	0.1	309.3	248.5	13.6
120312	0140	1.5	0.2	2.1	0.2	0.3	0.0	309.4	248.7	13.2
120312	0150	1.9	0.3	2.3	0.2	0.3	0.0	310.3	248.6	13.0
120312	0200	2.2	0.2	2.1	0.2	0.3	0.0	311.3	248.6	12.8
120312	0210	2.4	0.2	2.0	0.2	0.3	0.0	311.6	248.5	12.7
120312	0220	2.1	0.2	1.8	0.2	0.3	0.0	311.7	248.6	12.6
120312	0230	2.0	0.3	1.7	0.2	0.3	0.0	311.7	248.6	12.3
120312	0240	1.9	0.2	1.4	0.3	0.3	0.0	311.7	248.5	12.2
120312	0250	1.4	0.2	0.9	0.5	0.3	0.0	311.7	248.5	12.1
120312	0300	1.5	0.2	0.4	0.2	0.3	0.0	311.7	248.4	12.1
120312	0310	1.5	0.2	0.3	0.0	0.3	0.0	311.7	248.4	12.0
120312	0320	1.7	0.2	0.4	0.2	0.3	0.0	311.7	248.4	11.9
120312	0330	1.3	0.3	1.5	0.3	0.3	0.0	311.7	248.4	11.7
120312	0340	0.6	0.4	1.8	0.2	0.3	0.0	311.6	248.5	11.5
120312	0350	1.3	0.2	2.1	0.2	0.3	0.0	311.6	248.6	11.4
120312	0400	1.5	0.2	1.9	0.2	0.3	0.0	311.6	248.6	11.3
120312	0410	1.2	0.4	1.7	0.2	0.3	0.0	311.6	248.6	11.3
120312	0420	0.7	0.4	1.8	0.1	0.3	0.0	311.6	248.6	11.1
120312	0430	1.0	0.5	1.5	0.2	0.3	0.0	311.6	248.6	10.8
120312	0440	1.1	0.4	1.5	0.2	0.3	0.0	311.6	248.6	10.8
120312	0450	0.6	0.4	0.6	0.4	0.3	0.0	311.5	248.6	10.7
120312	0500	1.0	0.3	0.3	0.0	0.3	0.0	311.5	248.5	11.0
120312	0510	0.3	0.0	1.0	0.5	0.3	0.0	311.5	248.5	10.6
120312	0520	0.3	0.0	1.1	0.2	0.3	0.0	311.5	248.5	10.7
120312	0530	0.3	0.0	0.5	0.3	0.3	0.0	311.4	248.5	10.6
120312	0540	0.3	0.0	0.3	0.1	0.3	0.0	311.5	248.5	10.4
120312	0550	0.3	0.0	0.5	0.3	0.3	0.0	311.5	248.5	10.6
120312	0600	0.3	0.0	0.6	0.4	0.3	0.0	311.5	248.5	10.5
120312	0610	0.3	0.0	0.3	0.1	0.3	0.0	311.4	248.5	10.8
120312	0620	0.4	0.2	1.0	0.4	0.3	0.0	311.5	248.5	10.7
120312	0630	0.3	0.0	1.1	0.2	0.3	0.0	311.5	248.5	10.5
120312	0640	0.3	0.0	0.8	0.4	0.3	0.0	311.5	248.5	10.3
120312	0650	0.3	0.0	1.2	0.2	0.3	0.0	311.5	248.5	10.4
120312	0700	0.3	0.0	0.6	0.4	0.3	0.0	311.5	248.5	10.0
120312	0710	0.3	0.0	0.3	0.0	0.3	0.0	311.4	248.4	9.8
120312	0720	0.3	0.0	0.3	0.0	0.3	0.0	311.4	248.4	10.0
120312	0730	0.3	0.0	0.3	0.0	0.3	0.0	311.4	248.4	10.2
120312	0740	0.3	0.0	0.3	0.0	0.3	0.0	311.4	248.4	10.6
120312	0750	0.3	0.0	0.4	0.2	0.3	0.0	311.4	248.4	10.2
120312	0800	0.3	0.0	1.3	0.2	0.6	0.4	311.3	248.5	9.8
120312	0810	0.3	0.0	1.7	0.2	0.8	0.4	311.1	248.5	10.2
120312	0820	0.3	0.0	1.8	0.3	0.3	0.0	311.1	248.5	10.8
120312	0830	0.3	0.0	1.0	0.4	0.3	0.0	311.1	248.5	11.4
120312	0840	0.3	0.0	0.3	0.0	0.3	0.0	311.1	248.5	12.2
120312	0850	0.3	0.0	0.3	0.0	0.3	0.0	311.1	248.4	13.2
120312	0900	0.4	0.2	0.3	0.0	0.3	0.0	311.1	248.3	14.0
120312	0910	1.4	0.2	0.3	0.0	0.3	0.0	311.1	248.3	14.6
120312	0920	1.0	0.6	0.3	0.0	0.3	0.0	311.1	248.3	15.0
120312	0930	0.3	0.0	0.3	0.0	0.3	0.0	311.1	248.3	16.1
120312	0940	0.3	0.0	0.3	0.0	0.3	0.0	311.1	248.3	16.9
120312	0950	0.4	0.2	0.4	0.3	0.3	0.0	311.1	248.3	17.3
120312	1000	0.5	0.4	0.5	0.3	0.4	0.3	311.1	248.4	17.5
120312	1010	0.3	0.1	0.3	0.0	0.3	0.0	311.1	248.4	18.2
120312	1020	0.4	0.2	0.3	0.0	0.3	0.0	311.1	248.3	19.2
120312	1030	0.5	0.4	0.6	0.4	0.4	0.2	310.7	248.5	19.3
120312	1040	0.4	0.2	0.4	0.3	0.5	0.4	310.3	248.4	19.7
120312	1050	0.4	0.2	0.4	0.3	0.4	0.2	309.0	248.2	20.3
120312	1100	0.4	0.2	0.4	0.3	0.3	0.1	304.7	248.2	20.6
120312	1110	0.4	0.2	0.6	0.5	0.4	0.1	304.6	248.0	21.6
120312	1120	0.5	0.4	0.6	0.5	0.5	0.4	289.1	247.8	22.1
120312	1130	0.7	0.5	0.8	0.5	0.5	0.4	250.0	247.8	22.0
120312	1140	1.2	0.6	0.9	0.6	0.5	0.4	236.2	247.6	22.5
120312	1150	2.0	0.5	1.9	0.5	1.0	0.7	221.9	236.1	22.6
120312	1200	2.2	0.5	1.9	0.6	1.4	0.9	224.5	237.6	22.4
120312	1210	2.4	0.4	2.4	0.5	2.2	0.8	224.0	235.2	22.6
120312	1220	2.3	0.6	1.8	0.7	1.7	0.8	227.6	233.2	23.0
120312	1230	2.8	0.6	2.8	0.7	2.5	0.9	233.8	242.5	23.2
120312	1240	3.3	0.5	2.9	0.6	2.3	0.9	225.8	232.5	23.4
120312	1250	3.2	0.7	3.0	0.7	2.5	0.7	231.5	241.3	23.7
120312	1300	3.4	0.9	3.2	0.9	2.9	0.9	230.5	239.6	23.9
120312	1310	3.8	0.7	3.6	0.8	2.9	1.0	226.2	234.0	24.0
120312	1320	4.3	0.5	4.1	0.5	3.9	0.6	253.0	261.4	24.1
120312	1330	4.2	0.6	4.1	0.7	3.7	0.8	248.1	256.5	24.4
120312	1340	4.2	1.0	4.0	1.0	3.2	1.0	236.7	246.3	24.5
120312	1350	4.8	0.8	4.6	0.9	3.8	0.9	235.4	243.4	24.5
120312	1400	5.0	0.7	4.5	0.9	3.4	1.1	233.5	239.9	24.8
120312	1410	4.6	0.8	4.3	0.7	3.6	0.9	238.3	245.5	25.0
120312	1420	4.8	0.6	4.6	0.7	4.2	0.7	250.9	257.6	25.1
120312	1430	5.2	0.7	4.9	0.9	4.6	1.0	247.7	255.5	25.0
120312	1440	4.3	0.8	4.2	0.9	3.7	1.0	242.4	252.0	25.1
120312	1450	4.7	0.7	4.6	0.8	4.3	0.9	253.0	262.4	25.4
120312	1500	5.2	1.3	4.9	1.2	4.4	1.2	242.2	250.2	25.4
120312	1510	5.1	0.7	5.0	0.7	4.4	0.8	250.9	258.1	25.5
120312	1520	5.0	0.9	4.8	0.9	4.4	0.8	251.7	258.0	25.6
120312	1530	4.9	0.8	4.6	0.8	4.2	0.9	243.5	250.7	25.5
120312	1540	5.5	0.5	5.2	0.8	4.5	1.0	243.7	251.0	25.5
120312	1550	6.1	0.5	5.7	0.6	4.9	0.9	239.0	246.6	25.4
120312	1600	6.4	0.5	6.1	0.6	5.4	0.7	243.7	250.7	25.3
120312	1610	5.2	0.8	4.9	0.9	4.3	0.9	241.8	249.3	25.3
120312	1620	5.2	0.7	4.9	0.7	4.5	0.8	243.0	251.5	25.2
120312	1630	5.5	0.9	5.1	0.9	4.4	0.9	243.5	252.2	25.0
120312	1640	5.7	0.7	5.3	0.6	4.5	0.7	246.3	252.7	24.7
120312	1650	5.6	0.8	4.9	0.7	4.1	0.8	243.2	249.6	24.5
120312	1700	5.6	0.5	4.9	0.5	3.9	0.5	243.3	251.2	24.1
120312	1710	5.5	0.4	4.6	0.4	3.5	0.4	242.9	249.9	23.8
120312	1720	5.2	0.4	4.4	0.3	2.9	0.4	243.1	249.3	23.5
120312	1730	5.0	0.3	4.1	0.3	2.8	0.4	245.6	251.3	23.0
120312	1740	5.2	0.3	4.1	0.3	2.7	0.3	246.7	252.2	22.5
120312	1750	5.4	0.2	4.2	0.3	2.5	0.5	244.9	249.1	22.2
120312	1800	5.1	0.2	3.8	0.2	1.4	0.5	245.0	245.6	21.9
120312	1810	5.3	0.2	4.2	0.2	2.4	0.4	248.4	248.3	21.5
120312	1820	5.0	0.2	3.8	0.2	2.2	0.3	248.8	249.7	21.1
120312	1830	5.1	0.2	3.8	0.2	0.9	0.6	250.2	249.4	20.9
120312	1840	5.5	0.3	4.3	0.3	1.0	0.5	249.7	246.1	20.6
120312	1850	5.9	0.3	4.6	0.2	1.9	0.5	253.4	249.5	20.5
120312	1900	6.0	0.3	4.6	0.3	1.9	0.5	252.3	249.6	20.4
120312	1910	5.9	0.2	4.9	0.2	1.5	0.4	247.6	245.1	20.0
120312	1920	5.9	0.2	4.8	0.3	2.0	0.4	251.5	248.7	19.9
120312	1930	6.2	0.4	4.6	0.2	2.7	0.3	253.1	251.6	19.8
120312	1940	6.5	0.3	5.1	0.4	2.1	0.6	253.3	249.9	19.6
120312	1950	6.2	0.2	5.1	0.2	1.5	0.4	250.8	246.4	19.4
120312	2000	5.8	0.2	4.8	0.2	1.3	0.4	246.9	240.2	19.3
120312	2010	5.6	0.2	4.9	0.2	1.2	0.4	244.3	235.4	19.1
120312	2020	5.6	0.2	5.0	0.2	0.9	0.5	239.1	230.1	18.7
120312	2030	5.8	0.2	4.7	0.3	0.8	0.5	240.2	232.0	18.4
120312	2040	6.1	0.3	4.7	0.3	1.1	0.4	235.7	229.4	18.1
120312	2050	6.4	0.2	4.9	0.3	0.9	0.5	233.5	227.9	17.9
120312	2100	5.5	1.2	3.1	1.2	1.1	0.6	228.5	233.6	17.3
120312	2110	4.1	0.6	2.0	0.5	0.8	0.5	230.3	251.2	16.8
120312	2120	3.7	0.3	1.6	0.3	0.4	0.1	234.4	252.2	16.7
120312	2130	3.3	0.3	1.7	0.3	0.3	0.0	235.1	252.3	16.4
120312	2140	3.0	0.6	1.8	0.3	0.3	0.1	242.6	253.9	16.1
120312	2150	2.3	0.3	1.9	0.2	0.4	0.2	259.5	283.8	15.7
120312	2200	2.9	0.6	2.1	0.4	0.8	0.4	252.9	280.9	15.9
120312	2210	3.2	0.3	2.4	0.3	0.4	0.1	257.5	281.8	15.9
120312	2220	3.5	0.5	2.3	0.4	0.4	0.3	255.9	279.0	15.8
120312	2230	3.4	0.3	2.6	0.3	0.3	0.1	251.2	272.1	16.0
120312	2240	3.7	0.3	3.2	0.2	0.4	0.2	246.8	271.4	16.1
120312	2250	3.9	0.3	2.9	0.3	0.5	0.3	249.3	266.0	16.1
120312	2300	4.1	0.3	3.0	0.2	0.7	0.4	243.1	260.3	15.9
120312	2310	4.6	0.3	3.4	0.2	1.6	0.2	240.2	253.7	16.0
120312	2320	4.3	0.3	3.2	0.3	1.5	0.4	241.8	253.4	16.2
120312	2330	4.0	0.2	2.4	0.3	0.4	0.2	249.7	254.0	15.8
120312	2340	3.6	0.3	2.2	0.3	0.3	0.0	257.8	254.2	15.1
120312	2350	2.8	0.2	1.6	0.2	0.3	0.0	264.8	254.2	14.7
120412	0000	2.6	0.3	1.6	0.3	0.3	0.0	263.9	254.2	14.6
120412	0010	2.5	0.2	2.1	0.2	0.3	0.0	265.8	254.2	14.6
120412	0020	2.8	0.3	2.1	0.3	0.3	0.0	266.8	254.3	14.4
120412	0030	3.3	0.4	2.3	0.2	0.3	0.0	269.2	254.3	14.1
120412	0040	3.8	0.3	2.6	0.3	0.3	0.0	269.2	254.5	14.1
120412	0050	3.6	0.3	2.6	0.3	0.3	0.0	270.3	254.5	14.2
120412	0100	4.2	0.2	3.1	0.2	0.3	0.0	267.5	254.5	14.3
120412	0110	3.7	0.3	2.7	0.3	0.3	0.0	266.7	254.5	14.2
120412	0120	3.5	0.2	2.4	0.2	0.3	0.0	270.8	254.5	13.7
120412	0130	3.2	0.2	2.1	0.2	0.3	0.0	275.9	254.5	13.2
120412	0140	3.3	0.2	2.0	0.2	0.3	0.0	281.5	254.5	13.0
120412	0150	3.5	0.2	1.9	0.2	0.3	0.0	282.2	254.5	13.3
120412	0200	3.5	0.2	1.9	0.2	0.3	0.0	282.3	254.5	13.3
120412	0210	4.0	0.2	2.4	0.2	0.3	0.0	282.4	254.5	13.1
120412	0220	4.1	0.2	2.5	0.2	0.3	0.0	282.3	254.5	12.8
120412	0230	4.5	0.2	2.7	0.2	0.3	0.0	281.6	254.5	12.5
120412	0240	4.3	0.2	2.6	0.2	0.3	0.0	278.8	254.5	12.1
120412	0250	4.4	0.2	2.4	0.2	0.3	0.0	279.0	254.5	12.0
120412	0300	4.5	0.2	2.3	0.2	0.3	0.0	278.6	254.5	11.8
120412	0310	4.4	0.2	2.3	0.2	0.3	0.0	277.9	254.5	11.7
120412	0320	4.1	0.2	2.0	0.2	0.3	0.0	278.3	254.5	11.6
120412	0330	3.7	0.2	1.8	0.2	0.3	0.0	278.7	254.5	11.6
120412	0340	3.6	0.2	2.0	0.2	0.3	0.0	278.7	254.5	11.5
120412	0350	3.4	0.3	1.8	0.4	0.3	0.0	278.7	254.5	11.4
120412	0400	2.8	0.2	0.8	0.4	0.3	0.0	278.7	254.4	11.3
120412	0410	2.7	0.2	1.2	0.2	0.3	0.0	278.7	254.4	11.3
120412	0420	2.4	0.2	1.1	0.2	0.3	0.0	278.7	254.4	11.3
120412	0430	2.4	0.2	0.4	0.2	0.3	0.0	278.8	254.4	11.2
120412	0440	2.2	0.2	0.3	0.0	0.3	0.0	278.9	254.3	11.0
120412	0450	2.0	0.2	0.3	0.0	0.3	0.0	278.7	254.2	11.0
120412	0500	1.9	0.3	0.3	0.0	0.3	0.0	278.0	254.2	11.1
120412	0510	1.3	0.3	0.3	0.0	0.3	0.0	277.9	254.2	11.0
120412	0520	1.1	0.2	0.3	0.0	0.3	0.0	277.9	254.1	10.8
120412	0530	1.4	0.2	0.5	0.4	0.3	0.0	277.6	254.1	10.8
120412	0540	2.1	0.3	2.3	0.5	1.0	0.5	270.8	209.1	10.9
120412	0550	2.6	0.1	3.0	0.2	0.7	0.5	269.2	185.9	11.1
120412	0600	2.7	0.2	3.0	0.2	0.6	0.4	212.1	186.3	11.0
120412	0610	3.2	0.2	3.6	0.2	1.2	0.5	204.8	192.8	11.1
120412	0620	3.6	0.2	3.7	0.2	1.5	0.5	203.8	193.3	11.0
120412	0630	4.0	0.3	4.2	0.3	2.1	0.4	201.4	195.6	11.1
120412	0640	4.7	0.3	4.4	0.2	2.1	0.4	204.0	196.0	11.1
120412	0650	5.4	0.3	3.9	0.3	1.9	0.4	208.1	197.1	11.1
120412	0700	5.7	0.2	3.3	0.4	0.9	0.6	212.8	206.8	11.2
120412	0710	5.5	0.3	2.9	0.3	0.3	0.1	217.5	218.3	11.1
120412	0720	4.9	0.2	2.5	0.2	0.3	0.0	221.0	222.4	10.7
120412	0730	4.3	0.3	2.0	0.3	0.3	0.0	222.6	222.5	10.3
120412	0740	3.7	0.2	1.4	0.3	0.3	0.0	222.7	222.5	10.1
120412	0750	2.5	0.6	0.6	0.4	0.3	0.0	223.7	222.5	10.1
120412	0800	1.9	0.4	0.3	0.1	0.4	0.2	224.4	222.5	10.4
120412	0810	2.4	0.2	0.5	0.3	0.3	0.0	224.7	222.5	10.7
120412	0820	2.0	0.2	1.6	0.3	0.3	0.0	224.8	222.7	11.1
120412	0830	2.2	0.2	1.5	0.2	0.3	0.0	224.9	222.8	11.5
120412	0840	2.1	0.2	1.1	0.4	0.3	0.0	225.0	222.8	12.1
120412	0850	2.0	0.2	0.8	0.5	0.3	0.0	225.0	222.8	12.5
120412	0900	1.8	0.3	0.6	0.4	0.4	0.2	225.1	222.8	12.7
120412	0910	1.0	0.5	0.4	0.2	0.3	0.0	225.2	222.8	13.1
120412	0920	0.6	0.5	0.3	0.2	0.4	0.2	225.1	222.7	13.7
120412	0930	1.3	0.6	0.8	0.5	0.4	0.3	225.2	222.8	13.9
120412	0940	2.0	0.3	1.7	0.6	1.3	0.6	226.3	223.5	14.0
120412	0950	1.8	0.4	1.7	0.3	1.6	0.4	226.6	223.8	14.4
120412	1000	1.2	0.5	1.3	0.4	0.9	0.5	226.6	223.7	15.1
120412	1010	1.2	0.5	1.3	0.4	0.7	0.5	226.6	223.6	15.6
120412	1020	1.2	0.4	1.1	0.5	0.9	0.5	226.5	223.6	16.3
120412	1030	1.3	0.4	1.1	0.5	0.7	0.5	226.5	223.6	16.9
120412	1040	0.9	0.6	0.8	0.5	0.6	0.4	226.4	229.3	17.6
120412	1050	0.6	0.5	0.6	0.5	0.6	0.5	226.7	232.3	18.2
120412	1100	0.5	0.4	0.5	0.4	0.4	0.2	224.8	231.9	19.2
120412	1110	0.9	0.5	0.7	0.5	0.4	0.3	223.9	230.8	19.8
120412	1120	1.1	0.6	0.9	0.6	0.6	0.5	219.1	201.0	20.3
120412	1130	1.4	0.5	1.3	0.5	1.0	0.7	214.5	200.8	20.3
120412	1140	2.1	0.5	2.0	0.5	1.3	0.7	211.0	199.7	20.7
120412	1150	2.2	0.4	2.0	0.4	1.6	0.7	220.5	199.9	20.8
120412	1200	1.9	0.4	1.8	0.6	1.2	0.6	219.6	217.1	21.1
120412	1210	1.9	0.6	1.9	0.6	0.8	0.6	218.9	229.9	21.7
120412	1220	2.1	0.5	1.9	0.5	1.5	0.6	217.7	226.8	21.9
120412	1230	1.7	0.7	1.6	0.8	0.9	0.7	205.3	197.3	22.5
120412	1240	1.9	0.6	1.7	0.6	1.1	0.7	198.4	187.7	22.8
120412	1250	2.2	0.5	2.1	0.6	1.6	0.7	222.4	237.8	23.0
120412	1300	2.1	0.5	1.8	0.7	1.5	0.8	221.4	231.2	23.0
120412	1310	1.8	0.9	1.8	0.8	1.5	0.7	220.8	222.2	23.3
120412	1320	2.2	0.6	1.8	0.7	1.0	0.7	209.9	211.2	23.5
120412	1330	2.6	0.6	2.3	0.8	1.6	0.8	213.6	205.4	23.9
120412	1340	2.7	0.5	2.4	0.6	1.6	0.8	219.3	223.9	23.8
120412	1350	2.5	0.6	2.3	0.7	1.6	0.9	208.4	219.2	23.8
120412	1400	2.8	0.6	2.6	0.6	1.8	1.0	195.4	203.7	24.2
120412	1410	2.8	0.5	2.6	0.5	1.7	0.7	179.5	186.0	24.4
120412	1420	2.8	1.0	2.5	0.8	2.0	0.8	194.6	190.4	24.5
120412	1430	2.2	0.7	2.1	0.7	1.2	0.8	215.7	212.3	24.6
120412	1440	3.0	0.7	2.8	0.8	1.9	1.1	212.6	218.6	24.6
120412	1450	2.6	0.6	2.6	0.7	2.3	0.7	229.5	245.9	24.4
120412	1500	2.4	0.7	2.2	0.6	1.5	0.8	212.0	235.6	24.7
120412	1510	2.7	0.7	2.3	1.0	1.5	1.0	221.3	226.1	24.7
120412	1520	2.0	1.1	1.8	1.0	1.0	0.8	216.4	238.4	24.9
120412	1530	2.3	0.6	1.9	0.6	1.5	0.8	223.0	236.9	24.8
120412	1540	2.8	0.5	2.4	0.7	1.4	0.8	223.8	225.2	24.9
120412	1550	2.8	0.4	2.3	0.5	1.0	0.7	209.0	218.2	24.8
120412	1600	3.7	0.3	3.4	0.5	1.4	0.7	216.4	223.3	24.9
120412	1610	3.2	0.6	2.9	0.6	1.2	0.7	214.5	225.2	24.7
120412	1620	3.6	0.4	3.3	0.5	1.1	0.7	216.3	223.5	24.4
120412	1630	3.1	0.4	2.6	0.7	0.8	0.6	219.5	226.7	24.3
120412	1640	3.1	0.3	2.7	0.4	0.8	0.5	218.8	228.7	24.0
120412	1650	2.8	0.2	2.4	0.3	0.4	0.2	221.2	232.2	23.8
120412	1700	2.7	0.2	2.0	0.3	0.3	0.0	221.0	232.1	23.6
120412	1710	3.3	0.2	2.4	0.3	0.3	0.1	221.7	230.5	23.3
120412	1720	2.9	0.2	2.1	0.2	0.3	0.0	221.9	228.8	22.9
120412	1730	2.7	0.1	2.0	0.2	0.3	0.0	221.9	228.7	22.7
120412	1740	2.6	0.1	2.1	0.2	0.4	0.2	221.5	228.7	22.5
120412	1750	2.9	0.2	2.6	0.2	1.1	0.4	220.9	228.7	22.1
120412	1800	3.1	0.2	2.9	0.2	1.0	0.5	220.8	228.3	22.1
120412	1810	3.1	0.2	2.9	0.2	0.9	0.4	220.7	228.1	21.4
120412	1820	3.6	0.2	3.3	0.2	1.2	0.5	217.8	222.9	21.0
120412	1830	4.1	0.3	3.8	0.2	1.5	0.4	217.5	217.5	20.7
120412	1840	4.8	0.4	4.4	0.3	1.1	0.5	223.3	219.4	20.5
